Name,Start,End,Size
battle_overlay_entry,0x0045ECC0,0x0045ED00,64
FUN_BATTLE_text__0045ed00,0x0045ED00,0x0045EDC0,192
FUN_BATTLE_text__0045edc0,0x0045EDC0,0x0045EDC8,8
FUN_BATTLE_text__0045edd0,0x0045EDD0,0x0045EDD8,8
FUN_BATTLE_text__0045ede0,0x0045EDE0,0x0045EDE8,8
FUN_BATTLE_text__0045edf0,0x0045EDF0,0x0045EFC4,468
FUN_BATTLE_text__0045efd0,0x0045EFD0,0x0045EFE0,16
FUN_BATTLE_text__0045efe0,0x0045EFE0,0x0045EFE8,8
FUN_BATTLE_text__0045eff0,0x0045EFF0,0x0045EFFC,12
FUN_BATTLE_text__0045f000,0x0045F000,0x0045F03C,60
FUN_BATTLE_text__0045f040,0x0045F040,0x0045F108,200
FUN_BATTLE_text__0045f110,0x0045F110,0x0045F270,352
FUN_BATTLE_text__0045f270,0x0045F270,0x0045F2FC,140
FUN_BATTLE_text__0045f300,0x0045F300,0x0045F31C,28
FUN_BATTLE_text__0045f320,0x0045F320,0x0045F4D8,440
FUN_BATTLE_text__0045f4e0,0x0045F4E0,0x0045F5D4,244
FUN_BATTLE_text__0045f5e0,0x0045F5E0,0x0045F62C,76
FUN_BATTLE_text__0045f630,0x0045F630,0x0045F64C,28
FUN_BATTLE_text__0045f650,0x0045F650,0x0045F750,256
FUN_BATTLE_text__0045f750,0x0045F750,0x0045F838,232
FUN_BATTLE_text__0045f840,0x0045F840,0x0045F84C,12
FUN_BATTLE_text__0045f850,0x0045F850,0x0045F870,32
FUN_BATTLE_text__0045f870,0x0045F870,0x0045F87C,12
FUN_BATTLE_text__0045f880,0x0045F880,0x0045F8C0,64
FUN_BATTLE_text__0045f8c0,0x0045F8C0,0x0045F9A8,232
FUN_BATTLE_text__0045f9b0,0x0045F9B0,0x0045FA10,96
FUN_BATTLE_text__0045fa10,0x0045FA10,0x0045FA60,80
FUN_BATTLE_text__0045fa60,0x0045FA60,0x0045FB8C,300
FUN_BATTLE_text__0045fb90,0x0045FB90,0x0045FBE4,84
FUN_BATTLE_text__0045fbf0,0x0045FBF0,0x0045FC08,24
FUN_BATTLE_text__0045fc10,0x0045FC10,0x0045FC44,52
FUN_BATTLE_text__0045fc50,0x0045FC50,0x00460130,1248
FUN_BATTLE_text__00460130,0x00460130,0x00460168,56
FUN_BATTLE_text__00460170,0x00460170,0x004601A4,52
FUN_BATTLE_text__004601b0,0x004601B0,0x00460218,104
FUN_BATTLE_text__00460290,0x00460290,0x004602C4,52
FUN_BATTLE_text__004602d0,0x004602D0,0x00460490,448
FUN_BATTLE_text__00460490,0x00460490,0x004604F8,104
FUN_BATTLE_text__00460500,0x00460500,0x0046053C,60
FUN_BATTLE_text__00460540,0x00460540,0x0046057C,60
FUN_BATTLE_text__00460580,0x00460580,0x004605B8,56
FUN_BATTLE_text__004605c0,0x004605C0,0x00460600,64
FUN_BATTLE_text__00460600,0x00460600,0x00460A40,1088
FUN_BATTLE_text__00460a40,0x00460A40,0x00460A70,48
FUN_BATTLE_text__00460a70,0x00460A70,0x00460B74,260
FUN_BATTLE_text__00460b80,0x00460B80,0x00460B94,20
FUN_BATTLE_text__00460ba0,0x00460BA0,0x00460BAC,12
FUN_BATTLE_text__00460bb0,0x00460BB0,0x00460BBC,12
FUN_BATTLE_text__00460bc0,0x00460BC0,0x00460BF4,52
FUN_BATTLE_text__00460c00,0x00460C00,0x00460C30,48
FUN_BATTLE_text__00460c30,0x00460C30,0x00460E80,592
FUN_BATTLE_text__00460e80,0x00460E80,0x00460ED0,80
thunk_FUN_00151b40,0x00460ED0,0x00460ED8,8
FUN_BATTLE_text__00460ee0,0x00460EE0,0x00460F78,152
FUN_BATTLE_text__00460f80,0x00460F80,0x00460FBC,60
FUN_BATTLE_text__00460fc0,0x00460FC0,0x00460FF0,48
FUN_BATTLE_text__00460ff0,0x00460FF0,0x0046102C,60
