Name,Start,End,Size
menu_overlay_entry,0x0045ECC0,0x0045EEA8,488
FUN_MENU_text__0045eeb0,0x0045EEB0,0x0045EEB8,8
FUN_MENU_text__0045eec0,0x0045EEC0,0x0045F0C4,516
FUN_MENU_text__0045f0d0,0x0045F0D0,0x0045F0DC,12
FUN_MENU_text__0045f0e0,0x0045F0E0,0x0045F10C,44
FUN_MENU_text__0045f110,0x0045F110,0x0045F118,8
FUN_MENU_text__0045f120,0x0045F120,0x0045F128,8
FUN_MENU_text__0045f130,0x0045F130,0x0045F138,8
FUN_MENU_text__0045f140,0x0045F140,0x0045F1C4,132
FUN_MENU_text__0045f1d0,0x0045F1D0,0x0045F244,116
FUN_MENU_text__0045f250,0x0045F250,0x0045F908,1720
FUN_MENU_text__0045f910,0x0045F910,0x0045F918,8
FUN_MENU_text__0045f920,0x0045F920,0x0045F92C,12
FUN_MENU_text__0045f930,0x0045F930,0x0045FEEC,1468
FUN_MENU_text__0045fef0,0x0045FEF0,0x0045FF1C,44
FUN_MENU_text__0045ff20,0x0045FF20,0x00460090,368
FUN_MENU_text__00460090,0x00460090,0x004600E4,84
FUN_MENU_text__004600f0,0x004600F0,0x00460158,104
FUN_MENU_text__00460160,0x00460160,0x004601E8,136
FUN_MENU_text__004601f0,0x004601F0,0x004603A0,432
FUN_MENU_text__004603a0,0x004603A0,0x004603E8,72
FUN_MENU_text__004603f0,0x004603F0,0x0046044C,92
FUN_MENU_text__00460450,0x00460450,0x004604F0,160
FUN_MENU_text__004604f0,0x004604F0,0x0046082C,828
FUN_MENU_text__00460830,0x00460830,0x00460888,88
FUN_MENU_text__00460890,0x00460890,0x00460910,128
FUN_MENU_text__00460910,0x00460910,0x00460A68,344
FUN_MENU_text__00460a70,0x00460A70,0x00460B58,232
FUN_MENU_text__00460b60,0x00460B60,0x00460B9C,60
FUN_MENU_text__00460ba0,0x00460BA0,0x00460C00,96
FUN_MENU_text__00460c00,0x00460C00,0x00460CF8,248
FUN_MENU_text__00460d00,0x00460D00,0x00460D6C,108
FUN_MENU_text__00460d70,0x00460D70,0x00460DD4,100
FUN_MENU_text__00460de0,0x00460DE0,0x00460DE8,8
FUN_MENU_text__00460df0,0x00460DF0,0x0046130C,1308
FUN_MENU_text__00461310,0x00461310,0x00461330,32
FUN_MENU_text__00461330,0x00461330,0x00461864,1332
FUN_MENU_text__00461870,0x00461870,0x00461880,16
FUN_MENU_text__00461880,0x00461880,0x00461954,212
FUN_MENU_text__00461960,0x00461960,0x004619CC,108
FUN_MENU_text__004619d0,0x004619D0,0x00461C54,644
FUN_MENU_text__00461c60,0x00461C60,0x00461EF0,656
FUN_MENU_text__00461ef0,0x00461EF0,0x004621E0,752
FUN_MENU_text__004621e0,0x004621E0,0x0046255C,892
FUN_MENU_text__00462560,0x00462560,0x00462654,244
FUN_MENU_text__00462660,0x00462660,0x00462710,176
FUN_MENU_text__00462710,0x00462710,0x00462774,100
FUN_MENU_text__00462780,0x00462780,0x0046278C,12
FUN_MENU_text__00462790,0x00462790,0x004627B4,36
FUN_MENU_text__004627c0,0x004627C0,0x004627F4,52
FUN_MENU_text__00462800,0x00462800,0x004628E0,224
FUN_MENU_text__004628e0,0x004628E0,0x004628F0,16
FUN_MENU_text__004628f0,0x004628F0,0x00462904,20
FUN_MENU_text__00462910,0x00462910,0x00462CDC,972
FUN_MENU_text__00462ce0,0x00462CE0,0x00462CE8,8
FUN_MENU_text__00462cf0,0x00462CF0,0x004630D0,992
FUN_MENU_text__004630d0,0x004630D0,0x004630D8,8
FUN_MENU_text__004630e0,0x004630E0,0x004630F0,16
FUN_MENU_text__004630f0,0x004630F0,0x00463154,100
FUN_MENU_text__00463160,0x00463160,0x004631D0,112
FUN_MENU_text__004631d0,0x004631D0,0x00463230,96
FUN_MENU_text__00463230,0x00463230,0x004632A0,112
FUN_MENU_text__004632a0,0x004632A0,0x00463354,180
FUN_MENU_text__00463360,0x00463360,0x004633A4,68
FUN_MENU_text__004633b0,0x004633B0,0x004633EC,60
FUN_MENU_text__004633f0,0x004633F0,0x00463A3C,1612
FUN_MENU_text__00463a40,0x00463A40,0x00463AB0,112
FUN_MENU_text__00463ab0,0x00463AB0,0x00463C14,356
FUN_MENU_text__00463c20,0x00463C20,0x00463C80,96
FUN_MENU_text__00463c80,0x00463C80,0x00463CE4,100
FUN_MENU_text__00463cf0,0x00463CF0,0x00463EE8,504
FUN_MENU_text__00463ef0,0x00463EF0,0x0046409C,428
FUN_MENU_text__004640a0,0x004640A0,0x00464354,692
FUN_MENU_text__00464360,0x00464360,0x0046436C,12
FUN_MENU_text__00464370,0x00464370,0x0046457C,524
FUN_MENU_text__00464580,0x00464580,0x004645F4,116
FUN_MENU_text__00464600,0x00464600,0x00464658,88
FUN_MENU_text__00464660,0x00464660,0x00464704,164
FUN_MENU_text__00464710,0x00464710,0x00464810,256
FUN_MENU_text__00464810,0x00464810,0x004648D0,192
FUN_MENU_text__004648d0,0x004648D0,0x0046496C,156
FUN_MENU_text__00464970,0x00464970,0x00464A14,164
FUN_MENU_text__00464a20,0x00464A20,0x00464A64,68
FUN_MENU_text__00464a70,0x00464A70,0x00464BA8,312
FUN_MENU_text__00464bb0,0x00464BB0,0x00464C2C,124
FUN_MENU_text__00464c30,0x00464C30,0x00464C60,48
FUN_MENU_text__00464c60,0x00464C60,0x00464CA8,72
FUN_MENU_text__00464cb0,0x00464CB0,0x00464CEC,60
FUN_MENU_text__00464cf0,0x00464CF0,0x00464D44,84
FUN_MENU_text__00464d50,0x00464D50,0x00464DF0,160
FUN_MENU_text__00464df0,0x00464DF0,0x00464E60,112
FUN_MENU_text__00464e60,0x00464E60,0x00464F8C,300
FUN_MENU_text__00464f90,0x00464F90,0x00464FE4,84
FUN_MENU_text__00464ff0,0x00464FF0,0x004650B4,196
FUN_MENU_text__004650c0,0x004650C0,0x004650F8,56
FUN_MENU_text__00465100,0x00465100,0x00465130,48
FUN_MENU_text__00465130,0x00465130,0x004651A4,116
FUN_MENU_text__004651b0,0x004651B0,0x00465304,340
FUN_MENU_text__00465310,0x00465310,0x00465370,96
FUN_MENU_text__00465370,0x00465370,0x00465380,16
FUN_MENU_text__00465380,0x00465380,0x004655C0,576
FUN_MENU_text__004655c0,0x004655C0,0x00465610,80
FUN_MENU_text__00465610,0x00465610,0x00465678,104
FUN_MENU_text__00465680,0x00465680,0x004656E0,96
FUN_MENU_text__004656e0,0x004656E0,0x00465710,48
