Name,Start,End,Size
shop_overlay_entry,0x0045ECC0,0x0045ED00,64
FUN_SHOP_text__0045ed00,0x0045ED00,0x0045F084,900
FUN_SHOP_text__0045f090,0x0045F090,0x0045F0DC,76
FUN_SHOP_text__0045f0e0,0x0045F0E0,0x0045F0E8,8
FUN_SHOP_text__0045f0f0,0x0045F0F0,0x0045F184,148
FUN_SHOP_text__0045f190,0x0045F190,0x0045F1BC,44
FUN_SHOP_text__0045f1c0,0x0045F1C0,0x0045F214,84
FUN_SHOP_text__0045f220,0x0045F220,0x0045F334,276
FUN_SHOP_text__0045f340,0x0045F340,0x0045F34C,12
FUN_SHOP_text__0045f350,0x0045F350,0x0045F358,8
FUN_SHOP_text__0045f360,0x0045F360,0x0045F4A0,320
FUN_SHOP_text__0045f4a0,0x0045F4A0,0x0045F520,128
FUN_SHOP_text__0045f520,0x0045F520,0x0045F560,64
FUN_SHOP_text__0045f560,0x0045F560,0x0045F57C,28
FUN_SHOP_text__0045f580,0x0045F580,0x0045F628,168
FUN_SHOP_text__0045f630,0x0045F630,0x0045F63C,12
FUN_SHOP_text__0045f640,0x0045F640,0x0045F684,68
FUN_SHOP_text__0045f690,0x0045F690,0x0045F700,112
FUN_SHOP_text__0045f700,0x0045F700,0x0045F770,112
FUN_SHOP_text__0045f770,0x0045F770,0x0045F7E0,112
FUN_SHOP_text__0045f7e0,0x0045F7E0,0x0045F814,52
FUN_SHOP_text__0045f820,0x0045F820,0x0045FDC8,1448
thunk_FUN_002f5e40,0x0045FDD0,0x0045FDD8,8
FUN_SHOP_text__0045fde0,0x0045FDE0,0x0045FDE8,8
FUN_SHOP_text__0045fdf0,0x0045FDF0,0x0045FF0C,284
FUN_SHOP_text__0045ff10,0x0045FF10,0x004601C0,688
FUN_SHOP_text__004601c0,0x004601C0,0x00460540,896
FUN_SHOP_text__00460540,0x00460540,0x00460970,1072
FUN_SHOP_text__00460970,0x00460970,0x00460978,8
FUN_SHOP_text__00460980,0x00460980,0x00460988,8
FUN_SHOP_text__00460990,0x00460990,0x004609C4,52
FUN_SHOP_text__004609d0,0x004609D0,0x00460A64,148
FUN_SHOP_text__00460a70,0x00460A70,0x00460AA4,52
FUN_SHOP_text__00460ab0,0x00460AB0,0x00460AC8,24
FUN_SHOP_text__00460ad0,0x00460AD0,0x00460B04,52
FUN_SHOP_text__00460b10,0x00460B10,0x00460B44,52
FUN_SHOP_text__00460b50,0x00460B50,0x00460B84,52
FUN_SHOP_text__00460b90,0x00460B90,0x00460BB8,40
FUN_SHOP_text__00460bc0,0x00460BC0,0x00460BC8,8
FUN_SHOP_text__00460bd0,0x00460BD0,0x00460BE4,20
FUN_SHOP_text__00460bf0,0x00460BF0,0x00460C54,100
FUN_SHOP_text__00460c60,0x00460C60,0x00460D54,244
FUN_SHOP_text__00460d60,0x00460D60,0x00460D6C,12
FUN_SHOP_text__00460d70,0x00460D70,0x00460D78,8
FUN_SHOP_text__00460d80,0x00460D80,0x00460DF0,112
FUN_SHOP_text__00460df0,0x00460DF0,0x00460EC8,216
FUN_SHOP_text__00460ed0,0x00460ED0,0x00460F68,152
FUN_SHOP_text__00460f70,0x00460F70,0x0046103C,204
FUN_SHOP_text__00461040,0x00461040,0x00461670,1584
FUN_SHOP_text__00461670,0x00461670,0x0046167C,12
FUN_SHOP_text__00461680,0x00461680,0x0046168C,12
FUN_SHOP_text__00461690,0x00461690,0x004616A8,24
FUN_SHOP_text__004616b0,0x004616B0,0x00461790,224
FUN_SHOP_text__00461790,0x00461790,0x004617CC,60
FUN_SHOP_text__004617d0,0x004617D0,0x00461828,88
FUN_SHOP_text__00461830,0x00461830,0x0046188C,92
FUN_SHOP_text__00461890,0x00461890,0x00461908,120
FUN_SHOP_text__00461910,0x00461910,0x00461A64,340
FUN_SHOP_text__00461a70,0x00461A70,0x00461B64,244
FUN_SHOP_text__00461b70,0x00461B70,0x00461BE0,112
FUN_SHOP_text__00461be0,0x00461BE0,0x00461DD0,496
FUN_SHOP_text__00461dd0,0x00461DD0,0x00461F84,436
FUN_SHOP_text__00461f90,0x00461F90,0x004620F4,356
FUN_SHOP_text__00462100,0x00462100,0x00462288,392
FUN_SHOP_text__00462290,0x00462290,0x0046258C,764
FUN_SHOP_text__00462590,0x00462590,0x004625A4,20
FUN_SHOP_text__00462620,0x00462620,0x00462690,112
FUN_SHOP_text__00462690,0x00462690,0x004626B0,32
FUN_SHOP_text__004626b0,0x004626B0,0x00462734,132
FUN_SHOP_text__00462740,0x00462740,0x004627A4,100
FUN_SHOP_text__004627b0,0x004627B0,0x004628CC,284
FUN_SHOP_text__004628d0,0x004628D0,0x004629E4,276
FUN_SHOP_text__004629f0,0x004629F0,0x00462AA0,176
FUN_SHOP_text__00462aa0,0x00462AA0,0x00462AC8,40
FUN_SHOP_text__00462ad0,0x00462AD0,0x00462B1C,76
FUN_SHOP_text__00462b20,0x00462B20,0x00462BA0,128
FUN_SHOP_text__00462ba0,0x00462BA0,0x00462C44,164
