Name,Start,End,Size
title_overlay_entry,0x0045ECC0,0x0045ED2C,108
FUN_TITLE_text__0045ed30,0x0045ED30,0x0045ED38,8
FUN_TITLE_text__0045ed40,0x0045ED40,0x0045ED48,8
FUN_TITLE_text__0045ed50,0x0045ED50,0x0045ED58,8
FUN_TITLE_text__0045ed60,0x0045ED60,0x0045ED68,8
FUN_TITLE_text__0045ed70,0x0045ED70,0x0045ED78,8
FUN_TITLE_text__0045ed80,0x0045ED80,0x0045F340,1472
FUN_TITLE_text__0045f340,0x0045F340,0x0045F380,64
FUN_TITLE_text__0045f380,0x0045F380,0x0045F5CC,588
FUN_TITLE_text__0045f5d0,0x0045F5D0,0x0045F770,416
FUN_TITLE_text__0045f770,0x0045F770,0x0045F888,280
FUN_TITLE_text__0045f890,0x0045F890,0x0045F8BC,44
FUN_TITLE_text__0045f8c0,0x0045F8C0,0x0045F8C8,8
FUN_TITLE_text__0045f8d0,0x0045F8D0,0x0045F8D8,8
FUN_TITLE_text__0045f8e0,0x0045F8E0,0x0045F8E8,8
FUN_TITLE_text__0045f8f0,0x0045F8F0,0x0045FB04,532
FUN_TITLE_text__0045fb10,0x0045FB10,0x00460750,3136
FUN_TITLE_text__00460750,0x00460750,0x00460938,488
FUN_TITLE_text__00460940,0x00460940,0x00460B00,448
FUN_TITLE_text__00460b00,0x00460B00,0x00460E78,888
FUN_TITLE_text__00460e80,0x00460E80,0x00460FF8,376
FUN_TITLE_text__00461000,0x00461000,0x0046114C,332
FUN_TITLE_text__00461150,0x00461150,0x0046172C,1500
FUN_TITLE_text__00461730,0x00461730,0x00462078,2376
FUN_TITLE_text__00462080,0x00462080,0x004620AC,44
FUN_TITLE_text__004620b0,0x004620B0,0x00462314,612
FUN_TITLE_text__00462320,0x00462320,0x004625F8,728
FUN_TITLE_text__00462600,0x00462600,0x00462B8C,1420
FUN_TITLE_text__00462b90,0x00462B90,0x00462C9C,268
FUN_TITLE_text__00462ca0,0x00462CA0,0x0046394C,3244
FUN_TITLE_text__00463950,0x00463950,0x00463958,8
FUN_TITLE_text__00463960,0x00463960,0x00463968,8
FUN_TITLE_text__00463970,0x00463970,0x00463978,8
FUN_TITLE_text__00463980,0x00463980,0x00463988,8
FUN_TITLE_text__00463990,0x00463990,0x004639B8,40
FUN_TITLE_text__004639c0,0x004639C0,0x004639C8,8
FUN_TITLE_text__00463e00,0x00463E00,0x00463E54,84
FUN_TITLE_text__00463e60,0x00463E60,0x00463EE4,132
FUN_TITLE_text__00463ef0,0x00463EF0,0x00463F44,84
FUN_TITLE_text__00463f50,0x00463F50,0x00463FD4,132
FUN_TITLE_text__00463fe0,0x00463FE0,0x00464034,84
FUN_TITLE_text__00464040,0x00464040,0x00464094,84
