Name,Start,End,Size
battle_overlay_entry,0x00461CC0,0x00461D00,64
FUN_BATTLE_text__00461d00,0x00461D00,0x00461DC0,192
FUN_BATTLE_text__00461dc0,0x00461DC0,0x00461DC8,8
FUN_BATTLE_text__00461dd0,0x00461DD0,0x00461DD8,8
FUN_BATTLE_text__00461de0,0x00461DE0,0x00461DE8,8
FUN_BATTLE_text__00461df0,0x00461DF0,0x00461FC4,468
FUN_BATTLE_text__00461fd0,0x00461FD0,0x00461FE0,16
FUN_BATTLE_text__00461fe0,0x00461FE0,0x00461FE8,8
FUN_BATTLE_text__00461ff0,0x00461FF0,0x00461FFC,12
FUN_BATTLE_text__00462000,0x00462000,0x0046203C,60
FUN_BATTLE_text__00462040,0x00462040,0x00462108,200
FUN_BATTLE_text__00462110,0x00462110,0x00462270,352
FUN_BATTLE_text__00462270,0x00462270,0x004622FC,140
FUN_BATTLE_text__00462300,0x00462300,0x0046231C,28
FUN_BATTLE_text__00462320,0x00462320,0x004624D8,440
FUN_BATTLE_text__004624e0,0x004624E0,0x004625D4,244
FUN_BATTLE_text__004625e0,0x004625E0,0x0046262C,76
FUN_BATTLE_text__00462630,0x00462630,0x0046264C,28
FUN_BATTLE_text__00462650,0x00462650,0x00462750,256
FUN_BATTLE_text__00462750,0x00462750,0x00462838,232
FUN_BATTLE_text__00462840,0x00462840,0x0046284C,12
FUN_BATTLE_text__00462850,0x00462850,0x00462870,32
FUN_BATTLE_text__00462870,0x00462870,0x0046287C,12
FUN_BATTLE_text__00462880,0x00462880,0x004628C0,64
FUN_BATTLE_text__004628c0,0x004628C0,0x004629A8,232
FUN_BATTLE_text__004629b0,0x004629B0,0x00462A10,96
FUN_BATTLE_text__00462a10,0x00462A10,0x00462A60,80
FUN_BATTLE_text__00462a60,0x00462A60,0x00462B8C,300
FUN_BATTLE_text__00462b90,0x00462B90,0x00462BE4,84
FUN_BATTLE_text__00462bf0,0x00462BF0,0x00462C08,24
FUN_BATTLE_text__00462c10,0x00462C10,0x00462C44,52
FUN_BATTLE_text__00462c50,0x00462C50,0x00463130,1248
FUN_BATTLE_text__00463130,0x00463130,0x00463168,56
FUN_BATTLE_text__00463170,0x00463170,0x004631A4,52
FUN_BATTLE_text__004631b0,0x004631B0,0x00463218,104
FUN_BATTLE_text__00463290,0x00463290,0x004632C4,52
FUN_BATTLE_text__004632d0,0x004632D0,0x00463490,448
FUN_BATTLE_text__00463490,0x00463490,0x004634F8,104
