Name,Start,End,Size
shop_overlay_entry,0x00461CC0,0x00461D00,64
FUN_SHOP_text__00461d00,0x00461D00,0x00462084,900
FUN_SHOP_text__00462090,0x00462090,0x004620DC,76
FUN_SHOP_text__004620e0,0x004620E0,0x004620E8,8
FUN_SHOP_text__004620f0,0x004620F0,0x00462184,148
FUN_SHOP_text__00462190,0x00462190,0x004621BC,44
FUN_SHOP_text__004621c0,0x004621C0,0x00462214,84
FUN_SHOP_text__00462220,0x00462220,0x00462334,276
FUN_SHOP_text__00462340,0x00462340,0x0046234C,12
FUN_SHOP_text__00462350,0x00462350,0x00462358,8
FUN_SHOP_text__00462360,0x00462360,0x004624A0,320
FUN_SHOP_text__004624a0,0x004624A0,0x00462520,128
FUN_SHOP_text__00462520,0x00462520,0x00462560,64
FUN_SHOP_text__00462560,0x00462560,0x0046257C,28
FUN_SHOP_text__00462580,0x00462580,0x00462628,168
FUN_SHOP_text__00462630,0x00462630,0x0046263C,12
FUN_SHOP_text__00462640,0x00462640,0x00462684,68
FUN_SHOP_text__00462690,0x00462690,0x00462700,112
FUN_SHOP_text__00462700,0x00462700,0x00462770,112
FUN_SHOP_text__00462770,0x00462770,0x004627E0,112
FUN_SHOP_text__004627e0,0x004627E0,0x00462814,52
FUN_SHOP_text__00462820,0x00462820,0x00462DC8,1448
thunk_FUN_002f6050,0x00462DD0,0x00462DD8,8
FUN_SHOP_text__00462de0,0x00462DE0,0x00462DE8,8
FUN_SHOP_text__00462df0,0x00462DF0,0x00462F0C,284
FUN_SHOP_text__00462f10,0x00462F10,0x004631C0,688
FUN_SHOP_text__004631c0,0x004631C0,0x00463540,896
FUN_SHOP_text__00463540,0x00463540,0x00463970,1072
FUN_SHOP_text__00463970,0x00463970,0x00463978,8
FUN_SHOP_text__00463980,0x00463980,0x00463988,8
FUN_SHOP_text__00463990,0x00463990,0x004639C4,52
FUN_SHOP_text__004639d0,0x004639D0,0x00463A64,148
FUN_SHOP_text__00463a70,0x00463A70,0x00463AA4,52
FUN_SHOP_text__00463ab0,0x00463AB0,0x00463AC8,24
FUN_SHOP_text__00463ad0,0x00463AD0,0x00463B04,52
FUN_SHOP_text__00463b10,0x00463B10,0x00463B44,52
FUN_SHOP_text__00463b50,0x00463B50,0x00463B84,52
FUN_SHOP_text__00463b90,0x00463B90,0x00463BB8,40
FUN_SHOP_text__00463bc0,0x00463BC0,0x00463BC8,8
FUN_SHOP_text__00463bd0,0x00463BD0,0x00463BE4,20
FUN_SHOP_text__00463bf0,0x00463BF0,0x00463C54,100
FUN_SHOP_text__00463c60,0x00463C60,0x00463D54,244
FUN_SHOP_text__00463d60,0x00463D60,0x00463D6C,12
FUN_SHOP_text__00463d70,0x00463D70,0x00463D78,8
FUN_SHOP_text__00463d80,0x00463D80,0x00463DF0,112
FUN_SHOP_text__00463df0,0x00463DF0,0x00463EC8,216
FUN_SHOP_text__00463ed0,0x00463ED0,0x00463F68,152
FUN_SHOP_text__00463f70,0x00463F70,0x0046403C,204
FUN_SHOP_text__00464040,0x00464040,0x00464670,1584
FUN_SHOP_text__00464670,0x00464670,0x0046467C,12
FUN_SHOP_text__00464680,0x00464680,0x0046468C,12
FUN_SHOP_text__00464690,0x00464690,0x004646A8,24
FUN_SHOP_text__004646b0,0x004646B0,0x00464790,224
FUN_SHOP_text__00464790,0x00464790,0x004647CC,60
FUN_SHOP_text__004647d0,0x004647D0,0x00464828,88
FUN_SHOP_text__00464830,0x00464830,0x0046488C,92
FUN_SHOP_text__00464890,0x00464890,0x00464908,120
FUN_SHOP_text__00464910,0x00464910,0x00464A64,340
FUN_SHOP_text__00464a70,0x00464A70,0x00464B64,244
FUN_SHOP_text__00464b70,0x00464B70,0x00464BE0,112
FUN_SHOP_text__00464be0,0x00464BE0,0x00464DD0,496
FUN_SHOP_text__00464dd0,0x00464DD0,0x00464F84,436
FUN_SHOP_text__00464f90,0x00464F90,0x004650F4,356
FUN_SHOP_text__00465100,0x00465100,0x00465288,392
FUN_SHOP_text__00465290,0x00465290,0x0046558C,764
FUN_SHOP_text__00465590,0x00465590,0x004655A4,20
FUN_SHOP_text__004655b0,0x004655B0,0x00465614,100
FUN_SHOP_text__00465620,0x00465620,0x00465690,112
FUN_SHOP_text__00465690,0x00465690,0x004656B0,32
FUN_SHOP_text__004656b0,0x004656B0,0x00465734,132
FUN_SHOP_text__00465740,0x00465740,0x004657A4,100
FUN_SHOP_text__004657b0,0x004657B0,0x004658CC,284
FUN_SHOP_text__004658d0,0x004658D0,0x004659E4,276
FUN_SHOP_text__004659f0,0x004659F0,0x00465AA0,176
FUN_SHOP_text__00465aa0,0x00465AA0,0x00465AC8,40
FUN_SHOP_text__00465ad0,0x00465AD0,0x00465B1C,76
FUN_SHOP_text__00465b20,0x00465B20,0x00465BA0,128
FUN_SHOP_text__00465ba0,0x00465BA0,0x00465C44,164
FUN_SHOP_text__00465c50,0x00465C50,0x00465DC8,376
FUN_SHOP_text__00465dd0,0x00465DD0,0x00465E88,184
FUN_SHOP_text__00465e90,0x00465E90,0x00466020,400
FUN_SHOP_text__00466020,0x00466020,0x00466050,48
FUN_SHOP_text__00466050,0x00466050,0x004660E0,144
FUN_SHOP_text__004660e0,0x004660E0,0x0046626C,396
thunk_FUN_002ea000,0x00466270,0x00466278,8
FUN_SHOP_text__00466280,0x00466280,0x004664E8,616
FUN_SHOP_text__004664f0,0x004664F0,0x004664F8,8
FUN_SHOP_text__00466500,0x00466500,0x004666FC,508
FUN_SHOP_text__00466700,0x00466700,0x00466784,132
FUN_SHOP_text__00466790,0x00466790,0x004668FC,364
FUN_SHOP_text__00466900,0x00466900,0x0046693C,60
FUN_SHOP_text__00466940,0x00466940,0x00466A84,324
FUN_SHOP_text__00466a90,0x00466A90,0x00466B14,132
FUN_SHOP_text__00466b20,0x00466B20,0x00466BA4,132
FUN_SHOP_text__00466bb0,0x00466BB0,0x00466BB8,8
FUN_SHOP_text__00466bc0,0x00466BC0,0x00466BC8,8
FUN_SHOP_text__00466bd0,0x00466BD0,0x00466D30,352
FUN_SHOP_text__00466d30,0x00466D30,0x00466D40,16
FUN_SHOP_text__00466d40,0x00466D40,0x00466E44,260
