Name,Start,End,Size
viewer_overlay_entry,0x00461CC0,0x00461D2C,108
FUN_VIEWER_text__00461d30,0x00461D30,0x00461D38,8
FUN_VIEWER_text__00461d40,0x00461D40,0x00461D48,8
FUN_VIEWER_text__00461d50,0x00461D50,0x00461D58,8
FUN_VIEWER_text__00461d60,0x00461D60,0x00461D88,40
FUN_VIEWER_text__00461d90,0x00461D90,0x00461D98,8
FUN_VIEWER_text__00461da0,0x00461DA0,0x00461DF0,80
FUN_VIEWER_text__00461df0,0x00461DF0,0x00461E14,36
FUN_VIEWER_text__00461e20,0x00461E20,0x00461E48,40
FUN_VIEWER_text__00461e50,0x00461E50,0x00461E58,8
FUN_VIEWER_text__00461e60,0x00461E60,0x00461E88,40
FUN_VIEWER_text__00461e90,0x00461E90,0x00461E98,8
FUN_VIEWER_text__00461f00,0x00461F00,0x00461F54,84
FUN_VIEWER_text__00461f60,0x00461F60,0x00461FB4,84
FUN_VIEWER_text__00461fc0,0x00461FC0,0x00462014,84
FUN_VIEWER_text__00462020,0x00462020,0x00462074,84
